,Defendant_Sex,Defendant_Race,Defendant_Age,Defendant_AgeGroup,Defendant_IndigencyStatus,PriorConvs_Fel,PriorConvs_Misd,PriorFTAConvs,PriorVPRAIViolConvs,PriorVPRAIViolConvs_Fel,PriorVPRAIViolConvs_Misd,WhetherDefendantWasReleasedPretrial,BondTypeAtInitialContact,BondAmountAtInitialContact,ContactEvent_WhetherOffensePunishablebyIncaration,CaseType_MostSerChargeinContactEvent_regardlessofFinalDisp,CurrentCharge_VPRAIViolent,CurrentCharge_PSAViolent,FinalDispositionAllCharges_v1,ImposedSentenceMostSeriousConvictionInContactEvent,VPRAI_TotalPoints_Opt1,VPRAI_RiskLevel_Opt2,VPRAI_TotalPoints_Opt2,VPRAI_RiskLevel_Opt2,VPRAI_PTPlacementRiskLevel,PSA_FTA_TotalPoints,PSA_FTA_RiskLevelScale,PSA_NCA_TotalPoints,PSA_NCA_RiskLevelScale,UnemploymentRate_October2017_BureauofLaborStatistics,GiniIndex,WhiteAlonePercentage_PopulationEstimate_2017_Census,AfricanAmericanAlonepercentage_PopulationEstimate_2017,AsianAlonepercentage_PopulationEstimate_2017_Census,Male_MedianAge_2017Census,Female_MedianAge_2017Census,FollowUp_ArrestedforNewOff,FollowUp_ChargedWithNewFTA,NewArrest_VCC,NewArrest_Type,NewArrest_VCCClassification,NewArrest_Disposition,FollowUp_ArrestedForNewOffPunishableByIncarceration,NewArrestPunishableByIncarceration_Type,FollowUp_NewFelonyArrest,NewFelonyArrest_VCC,NewFelonyArrest_VCCPrefix,NewFelonyArrest_VCCClassification,NewFelonyArrest_Type,NewFelonyArrest_Disposition,FollowUp_NewVPRAIViolentArrest,NewVPRAIViolentArrest_VCC,NewVPRAIViolentArrest_VCCPrefix,NewVaCode297ViolentOff_VCC,NewVaCode297ViolentOff_Disposition,recid
0,M,W,31,3,99,0,0,0,0,0,0,9,7, ,1,F,0,0,9, ,3,2,4,2, ,0,1,0,1,2.6,.44,66,23.4,6.7,36.5,37, , , , , , , , , , , , , , , , , , , ,0
1,M,B,60,6,9,13,21,0,15,1,14,0,7, ,1,F,0,0,5,60,6,4,7,4, ,3,4,9,6,2.6,.44,66,23.4,6.7,36.5,37,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
2,M,W,27,3,9,0,0,0,0,0,0,0,7, ,1,M,0,0,5,12,0,1,1,1, ,0,1,0,1,2.6,.44,66,23.4,6.7,36.5,37,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
3,M,B,27,3,0,0,9,0,0,0,0,0,7, ,1,M,0,0,5,.985626283367556,9,5,10,5, ,6,5,8,5,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
4,F,W,28,3,0,0,0,0,0,0,0,1,7, ,1,F,0,0,3, ,3,2,4,2, ,0,1,0,1,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
5,M,B,39,4,0,1,0,0,0,0,0,0,7, ,1,M,0,0,5,12,2,2,3,2, ,1,2,3,3,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6,F,B,35,3,1,0,0,0,0,0,0,1,7, ,1,F,0,0,5,36,3,2,4,2, ,0,1,0,1,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
7,M,B,18,2,0,0,0,0,0,0,0,1,7, ,1,M,0,0,5,6,2,2,3,2, ,1,2,5,4,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
8,M,B,27,3,1,2,6,0,1,0,1,0,7, ,1,F,1,1,5,12,4,3,5,3, ,1,2,5,4,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
9,M,W,21,2,1,0,4,0,0,0,0,1,7, ,1,M,0,0,5,12,2,2,3,2, ,1,2,3,3,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
10,M,W,66,7,0,0,2,0,0,0,0,1,7, ,1,M,0,0,5,5.91375770020534,2,2,3,2, ,1,2,1,2,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
11,M,B,25,2,0,7,3,0,0,0,0,0,7, ,1,F,0,0,1, ,9,5,10,5, ,1,2,4,3,3.1,.44,93.3,4.4,.7,43.6,46.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
12,F,W,35,3,0,0,0,0,0,0,0,1,7, ,1,F,0,0,1, ,3,2,4,2, ,0,1,0,1,3.1,.45,94.3,3.3,.7,46.9,48.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
13,F,W,35,3,0,0,4,0,0,0,0,1,7, ,1,F,0,0,5,120,5,3,6,3, ,1,2,1,2,3.1,.45,94.3,3.3,.7,46.9,48.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
14,M,W,31,3,1,1,1,0,0,0,0,1,7, ,1,F,0,0,5,24,2,2,3,2, ,3,4,5,4,5.7,.48,95.9,2.8,.4,45.2,48.9,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
15,F,W,38,4,1,0,0,0,0,0,0,1,7, ,1,F,0,0,3, ,5,3,6,3, ,1,2,3,3,5.7,.48,95.9,2.8,.4,45.2,48.9,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
16,M,W,22,2,0,0,0,0,0,0,0,1,7, ,1,F,0,0,1, ,4,3,5,3, ,0,1,2,2,5.7,.48,95.9,2.8,.4,45.2,48.9,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
17,M,W,40,4,1,16,3,0,1,0,1,1,7, ,1,F,0,0,5,12,9,5,10,5, ,3,4,6,4,5.7,.48,95.9,2.8,.4,45.2,48.9,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
18,F,W,39,4,1,2,2,0,0,0,0,1,7, ,1,M,0,0,3, ,4,3,5,3, ,2,3,5,4,5.7,.48,95.9,2.8,.4,45.2,48.9,1,0,CON3210S9,M,S9,1,1,M,1,NAR3022F5,NAR,F5,F,8,0, , , , ,1
19,M,W,48,5,0,2,0,0,0,0,0,1,7, ,1,M,0,0,5,12,2,2,3,2, ,1,2,1,2,5.7,.48,95.9,2.8,.4,45.2,48.9,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
20,F,W,34,3,1,0,0,0,0,0,0,1,7, ,1,F,0,0,5,12,7,4,8,4, ,2,3,1,2,5.7,.48,95.9,2.8,.4,45.2,48.9,1,1,CON3210S9,M,S9,0,1,M,0, , , , , ,0, , , , ,1
21,M,W,37,4,0,1,1,0,0,0,0,0,7, ,1,F,0,0,1, ,9,5,10,5, ,2,3,2,2,5.7,.48,95.9,2.8,.4,45.2,48.9,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
